Code,Subject Code,Course Title,Credits,Semester Typically Offered,Foundations Designation,Description,Grading Basis,Course Type,Course Level,College,Department
ACCT570,ACCT,Multi-State Taxation,3,fall only,NULL,State income tax issues and sales and use tax issues with a special focus on issues faced by multistate taxpayers.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT513,ACCT,Foundations of Cost Accounting,3,fall and spring and summer,NULL,Development and use of cost information for strategic cost management. Common costing methods%COMMA% variance analysis%COMMA% lean accounting%COMMA% and responsibility accounting. Emphasizes how costs affect managers' decisions. Applies course topics to more realistic and less structured situations. Ethical and strategic aspects of cost accounting.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT596,ACCT,Independent Study,1-6,fall or spring or summer or all,NULL,Advanced study of a specialized topic; design and completion of a project may be included in the study. The student works with a high degree of Independence to meet well-defined goals under the supervision of a member of the graduate faculty. Requires submission of a completed Application for Graduate Independent Study prior to the deadline specified in the academic calendar. An independent study cannot be substituted for a course regularly offered at Boise State%COMMA% nor can independent study credits be used to improve a grade in a course the student has already taken. Either graded or pass/fail.,Letter Grade - Regular,Independent Study,Graduate,College of Business and Economics,Accountancy
ACCT411,ACCT,Ethics in Accounting,3,spring only,NULL,Apply frameworks for ethical reasoning%COMMA% moral principles%COMMA% and professional values to various scenarios. Examine the consequences of ethical and unethical action or inaction. Recognize%COMMA% interpret%COMMA% and react to ethical decision situations%COMMA% and identify relevant stakeholders in such situations. Discussion of contexts specific to the accounting profession and the broader business environment%COMMA% including the rules and regulations promulgated by national regulatory agencies%COMMA% professional accounting organizations%COMMA% and state boards of accountancy.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT306,ACCT,Intermediate Accounting II,3,fall and spring only,NULL,Continuation of ACCT 304. Covers more advanced financial reporting topics%COMMA% with a continued focus on preparation of general purpose financial statements for external users based on U.S. generally accepted accounting principles. Emphasis on measurement and reporting of liabilities and stockholders' equity.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT535,ACCT,Estate and Gift Taxation,3,fall or spring or summer or all,NULL,Federal estate and gift taxes%COMMA% including estate planning.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT314,ACCT,Cost Accounting,3,fall and spring only,NULL,Development and use of cost information for strategic cost management. Common costing methods%COMMA% variance analysis%COMMA% lean accounting%COMMA% and responsibility accounting. Emphasizes how costs affect managers' decisions. Applies course topics to more realistic and less structured situations. Ethical and strategic aspects of cost accounting.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT592,ACCT,Portfolio,1-6,fall or spring or summer or all,NULL,A broad-based selection of significant student work that is used to appraise student performance and professional development. A portfolio reflects the depth and breadth of a student's educational growth since entering the graduate program. Portfolios may include%COMMA% but not be limited to%COMMA% classroom examinations%COMMA% journals%COMMA% writing samples%COMMA% publishable scholarship%COMMA% professional projects%COMMA% annotated bibliographies%COMMA% and artistic endeavors%COMMA% Pass/fail only.,Pass/Fail/In-Progress - PIP,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT549,ACCT,Foundations of Accounting Information Systems,3,fall and spring and summer,NULL,The study of how organizations and accountants design%COMMA% use%COMMA% and control systems that provide decision-relevant information to meet their needs. Topics include modeling business processes and relevant databases%COMMA% analytics in accounting%COMMA% risk management and internal controls%COMMA% and information security. Students complete projects using database and analytics tools along with enterprise-level accounting software.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT511,ACCT,Ethics in Accounting,3,spring only,NULL,Apply frameworks for ethical reasoning%COMMA% moral principles%COMMA% and professional values to various scenarios. Examine the consequences of ethical and unethical action or inaction. Recognize%COMMA% interpret%COMMA% and react to ethical decision situations%COMMA% and identify relevant stakeholders in such situations. Discussion of contexts specific to the accounting profession and the broader business environment%COMMA% including the rules and regulations promulgated by national regulatory agencies%COMMA% professional accounting organizations%COMMA% and state boards of accountancy.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT500,ACCT,Foundations of Financial Reporting I,3,fall and spring and summer,NULL,Study of financial reporting concepts and preparation of general-purpose financial statements for external users based on U.S. generally accepted accounting principles. Emphasis on income measurement and valuation of assets.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT512,ACCT,Financial Reporting Theory,3,fall only,NULL,A critical analysis of the concepts and premises underlying financial reporting practices. Coverage includes the conceptual framework%COMMA% current accounting standards and their origins%COMMA% and other current topics in financial reporting.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT585,ACCT,Volunteer Income Tax Assistance (VITA) Program,3,spring only,NULL,Supervised participation in the Volunteer Income Tax Assistance (VITA) Program. VITA is an Internal Revenue Service (IRS) initiative designed to provide free tax return preparation services for underserved low-to-moderate income individuals%COMMA% persons with disabilities%COMMA% the elderly%COMMA% and those with limited English proficiency. Students become IRS certified tax preparers. No prior tax experience is necessary.,Letter Grade - Regular,Laboratory,Graduate,College of Business and Economics,Accountancy
ACCT485,ACCT,Volunteer Income Tax Assistance (VITA) Program,3,spring only,NULL,Supervised participation in the Volunteer Income Tax Assistance (VITA) Program. VITA is an Internal Revenue Service (IRS) initiative designed to provide free tax return preparation services for underserved low-to-moderate income individuals%COMMA% persons with disabilities%COMMA% the elderly%COMMA% and those with limited English proficiency. Students become IRS certified tax preparers. No prior tax experience is necessary.,Letter Grade - Regular,Laboratory,Undergraduate,College of Business and Economics,Accountancy
ACCT410,ACCT,Advanced Accounting,3,fall only,NULL,Accounting for business combinations%COMMA% including consolidated financial statements%COMMA% and governmental accounting.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT501,ACCT,Foundations of Financial Reporting II,3,fall and spring and summer,NULL,Continuation of ACCT 500. Covers more advanced financial reporting topics%COMMA% with a continued focus on preparation of general-purpose financial statements for external users based on U.S. generally accepted accounting principles. Emphasis on measurement and reporting of liabilities and stockholders' equity.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT290,ACCT,Foundations of the Accounting Profession,3,fall and spring and summer,NULL,Designed to provide a technical and professional foundation for accounting students. Includes the completion of a comprehensive%COMMA% accounting-cycle project%COMMA% including the use of accounting software. Also includes an overview of what it means to be an accounting professional; topics include professional judgment%COMMA% ethical and societal responsibilities%COMMA% career paths%COMMA% and strategies for long-term success.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT518,ACCT,International Financial Reporting,3,spring only,NULL,Contemporary accounting practices of the major national economies. Includes directives of the European Community affecting financial reporting and pronouncements and activities of the International Accounting Standards Board.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT405,ACCT,Financial Statement Auditing,3,fall and spring only,NULL,Introduction to financial statement audits which provide the credibility necessary for the financial markets to operate. Topics include professional standards%COMMA% SEC requirements for auditors in planning%COMMA% evidence gathering and accumulation%COMMA% and reporting. Ethical and legal considerations are also discussed.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT514,ACCT,Advanced Managerial Accounting,3,fall or spring or both,NULL,Advanced applications of managerial accounting information for strategic management decisions. Coverage includes specialized tools for planning%COMMA% operating and control decisions such as strategic cost management%COMMA% strategic performance measurement and incentive systems%COMMA% and activity- and resource-based costing. Emphasis is placed on the understanding and use of state of the art managerial accounting techniques.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT505,ACCT,Advanced Auditing,3,fall or spring or summer or all,NULL,In-depth study of auditing from an external auditor's perspective. Topics include substantive testing%COMMA% evidence%COMMA% planning%COMMA% reporting%COMMA% documentation%COMMA% and case studies. The course includes a major project in external auditing.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT580,ACCT,Selected Accounting Topics,3,spring only,NULL,Current accounting topics and issues are investigated in this class. Selected Accounting Topics may be taken once%COMMA% as either ACCT 480 or ACCT 580.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT480,ACCT,Selected Accounting Topics,3,spring only,NULL,Current accounting topics and issues are investigated in this class. Recommended admission to COBE.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT530,ACCT,Corporate Tax Law,3,spring%COMMA% summer%COMMA% or both,NULL,Tax considerations in corporate formations%COMMA% operations%COMMA% distributions%COMMA% redemptions%COMMA% reorganizations%COMMA% and liquidations. Includes a study of S corporations and an overview of financial accounting for income taxes.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT529,ACCT,Foundations of Federal Income Taxation,3,fall and spring and summer,NULL,Theory and practice of federal income taxation%COMMA% including concepts of taxation as they apply to businesses%COMMA% individuals%COMMA% flow-through entities and corporations. Specific topics include property transactions%COMMA% individual tax rules%COMMA% business revenue and expense issues%COMMA% and state taxation. Emphasizes the social%COMMA% political and ethical considerations of tax law.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT525,ACCT,Partnership Tax Law,3,fall only,NULL,Tax meaning of partnership%COMMA% formation transactions between partner and partnership; determination and treatment of partnership income; sales and exchanges of partnership interest; distributions; retirement; death of a partner; drafting the partnership agreement.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT520,ACCT,Tax and Accounting Research,3,fall only,NULL,Instruction in all aspects of tax research including legislative%COMMA% administrative and judicial sources; major tax services%COMMA% and Internet-based tax research libraries. While the majority of the course focuses on tax research%COMMA% the course also includes instruction in ethical issues in tax practice and instruction in financial accounting research resources%COMMA% including the FASB Codification.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT205,ACCT,Introduction to Financial Accounting,3,fall and spring and summer,NULL,Introduction to financial reporting. The primary objective is to make the student aware of the importance of accounting information as a powerful tool in the business decision-making process. Emphasis of the course is on the uses of financial information in making investment and credit decisions rather than the preparation of the information.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT350,ACCT,Accounting Information Systems,3,fall and spring only,NULL,The study of the intersection of accounting%COMMA% information technology%COMMA% and data for decision making. Topics include the information life cycle%COMMA% modeling business processes%COMMA% frameworks and current assessment of governance%COMMA% risk management%COMMA% internal control%COMMA% and information security. Applied projects and use of software in process modeling%COMMA% design of controls%COMMA% and data analytics.,Letter Grade - Regular,Lecture,Undergraduate,College of Business and Economics,Accountancy
ACCT493,ACCT,Internship,1-12,fall or spring or summer or all,NULL,Internship credits are earned in supervised fieldwork specifically related to a student's major. To enroll in courses numbered 293 or 493%COMMA% a student must have attained a cumulative grade-point average of 2.00 or higher. No more than 12 credits of internship and/or Work U may be applied towards graduation requirements.,Letter Grade - Regular,Internship,Undergraduate,College of Business and Economics,Accountancy
ACCT493U,ACCT,Work U,1-3,fall and spring and summer,NULL,Designed to provide students with professional experiences%COMMA% regardless of their major. Students will develop their professional network alongside a mentor at a Treasure Valley employer. Time is spent on site with employers and on campus in a weekly class session. The class sessions are designed to unpack what the students are learning on the job%COMMA% attend interactive workshops%COMMA% engage with dynamic guest leaders from partner employers%COMMA% and learn skills that translate directly to a professional setting. No more than 12 Work U and/or internship credits may be applied towards graduation requirements.,Letter Grade - Regular,Practicum,Undergraduate,College of Business and Economics,Accountancy
ACCT579,ACCT,Personal Financial Planning,3,spring only,NULL,The course focuses on the tools to help individuals reach their personal financial goals. There will be five main areas of emphasis: investments%COMMA% insurance coverage/asset protection%COMMA% income tax planning%COMMA% retirement planning and estate planning. The areas will be covered in the personal finance framework.,Letter Grade - Regular,Lecture,Graduate,College of Business and Economics,Accountancy
ACCT496,ACCT,Independent Study,1-4,fall or spring or summer or all,NULL,Upper-division students may earn credits in independent study%COMMA% usually through directed reading or by completing a special project. Students may earn no more than 4 credits in a semester and no more than 6 credits during a single academic year%COMMA% and no more than a total of 9 credits may be used to meet degree requirements or university graduation requirements. Before enrolling for independent study%COMMA% a student must obtain the approval of the department chair%COMMA% acting on the recommendation of the instructor who will be supervising the independent study. An independent study cannot be substituted for a course regularly offered at Boise State%COMMA% nor can independent study credits be used to improve a grade in a course the student has already taken.,Letter Grade - Regular,Independent Study,Undergraduate,College of Business and Economics,Accountancy
ADST110,ADST,Introduction to Drugs and Society,3,fall or spring or summer or all,NULL,An introductory course that covers the basic pharmacology of therapeutic and non-therapeutic drugs%COMMA% the impact of drugs on society%COMMA% and evidence-based substance use prevention and treatment modalities. May be repeated for a maximum of 9 credits.,Letter Grade - Regular,Lecture,Undergraduate,College of Health Sciences,School of Social Work
ADST496,ADST,Independent Study,1-4,fall or spring or summer or all,NULL,Upper-division students may earn credits in independent study%COMMA% usually through directed reading or by completing a special project. Students may earn no more than 4 credits in a semester and no more than 6 credits during a single academic year%COMMA% and no more than a total of 9 credits may be used to meet degree requirements or university graduation requirements. Before enrolling for independent study%COMMA% a student must obtain the approval of the department chair%COMMA% acting on the recommendation of the instructor who will be supervising the independent study. An independent study cannot be substituted for a course regularly offered at Boise State%COMMA% nor can independent study credits be used to improve a grade in a course the student has already taken.,Letter Grade - Regular,Independent Study,Undergraduate,College of Health Sciences,School of Social Work
ADST493,ADST,Internship,1-12,fall or spring or summer or all,NULL,Internship credits are earned in supervised fieldwork specifically related to a student's major. To enroll in courses numbered 293 or 493%COMMA% a student must have attained a cumulative grade-point average of 2.00 or higher. No more than 12 credits of internship and/or Work U may be applied towards graduation requirements.,Letter Grade - Regular,Internship,Undergraduate,College of Health Sciences,School of Social Work
ADST448,ADST,Motivational Interviewing,3,fall or spring or both,NULL,Introduces students to the concepts and practice of Motivational Interviewing (MI) in health care settings%COMMA% including behavioral health and primary care settings. Apply the core concepts of MI and practice of a Brief Negotiated Interview (BNI) for health behaviors. Cross-listed with SOCWRK448%COMMA% may be taken once for credit. ,Letter Grade - Regular,Lecture,Undergraduate,College of Health Sciences,School of Social Work
ADST466,ADST,Assessment and Case Management of Behavioral Health Disorders,3,fall or spring or both,NULL,Develops skill and knowledge in generalist case management services including utilizing screening and assessment tools to guide case management services. May be repeated for a maximum of 9 credits.,Letter Grade - Regular,Lecture,Undergraduate,College of Health Sciences,School of Social Work
AE301,AE,Preparing for Creative Careers,3,fall and spring only,NULL,"Gains an understanding of one's creative process%COMMA% learn about the possible career opportunities in the arts and creative economy%COMMA% and develop the basic entrepreneurial skills needed for a successful career in the arts. Gains knowledge of varied cultural%COMMA% social%COMMA% and economic realities impacting contemporary art disciplines%COMMA% creative sector collaborations%COMMA% and the role of the arts in society. ",Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,School of the Arts
AE490,AE,Creative Technology Integration,1,spring only,NULL,Synthesizes knowledge of creative technologies into a cohesive set of relevant skills while exploring their application in creative practice and career development. Combines research and discussions with professionals from various creative industries to critically examine the intersection of art and technology%COMMA% gain insights into emerging trends and best practices%COMMA% navigate the evolving landscape of creative technology%COMMA% and develop strategies for career readiness in the creative economy and beyond.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,School of the Arts
AE302,AE,Entrepreneurship and Innovation in the Creative Sector,3,fall and spring only,NULL,"Introduces entrepreneurial skills and arts business activities and practices. Brainstorming; developing original concepts; and exploring business models%COMMA% team-building%COMMA% and innovation to create a plan of action for a career in the arts and creative economy. ",Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,School of the Arts
AE479,AE,Undergraduate Research Experience, 0-3,fall or spring or summer or all,NULL,Provides insight into research or creative work through inquiry%COMMA% investigation%COMMA% discovery%COMMA% and application. There is a possibility of collaborating with graduate students who are performing graduate-level research. All research is supervised by a faculty member. May be repeated for credit. Either graded or pass/fail. It is recommended that the 0 credit option be offered as pass/fail.,Letter Grade - Regular,Research,Undergraduate,College of Arts and Sciences,School of the Arts
AE402,AE,Arts Management in Action,3,spring only,NULL,Provides insight into the management of individual arts businesses%COMMA% arts organizations%COMMA% events%COMMA% creative enterprises%COMMA% and other artistic endeavors. Topics include artistic content%COMMA% leadership%COMMA% fundraising and developing financial resources%COMMA% community development%COMMA% cultural facilities%COMMA% technology%COMMA% audience development%COMMA% and marketing. ,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,School of the Arts
AE293,AE,Internship,1-12,fall or spring or summer or all,NULL,Internship credits are earned in supervised fieldwork specifically related to a student's major. To enroll in courses numbered 293 or 493%COMMA% a student must have attained a cumulative grade-point average of 2.00 or higher. No more than 12 credits of internship and/or Work U may be applied towards graduation requirements.,Letter Grade - Regular,Internship,Undergraduate,Boise State University,School of the Arts
AE410,AE,Arts Passport,1,fall and spring only,NULL,"The Arts Passport is an Arts Initiative program designed to introduce students to the rich and diverse world of arts and culture and provide students with an immersive cultural experience. Students will explore the various arts offerings on campus and beyond and reflect on their experience. This course aims to cultivate an appreciation for various forms of artistic expression and promote active engagement with arts events. May be repeated once for credit.  ",Pass/Fail - PF,Lecture,Undergraduate,College of Arts and Sciences,School of the Arts
AE401,AE,Brand and Marketing in the Arts,3,fall only,NULL,Develop foundational structure for brand by identifying key factors in personal%COMMA% company or organizational motivation and purpose. Analyze audiences specific to creative products and or services while using the brand foundation to inform creative messaging and design. The process will help emerging artists identify value in brand and execute effectively in the market.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,School of the Arts
AE105,AE,Conversations with Working Artists,1,fall and spring only,NULL,Working artists%COMMA% arts administrators%COMMA% and artists working beyond the creative sector participate in a series of discussions giving an opportunity to engage%COMMA% ask questions%COMMA% and reflect on key issues that will shape their careers.,Letter Grade - Regular,Lecture,Undergraduate,College of Arts and Sciences,School of the Arts
AE294,AE,Arts Entrepreneurship Workshops,1,fall and spring only,NULL,Possible topics include Pop-Ups%COMMA% Public Art%COMMA% The Pitch%COMMA% Intellectual Property and the Arts%COMMA% Employment Law and the Arts%COMMA% Arts Festivals%COMMA% Best Practices in Self-Producing%COMMA% The Creative City%COMMA% and Art as Social Practice. Course may be repeated for credit.,Letter Grade - Regular,Workshop,Undergraduate,College of Arts and Sciences,School of the Arts
AE493,AE,Internship,1-12,fall or spring or summer or all,NULL,Internship credits are earned in supervised fieldwork specifically related to a student's major. To enroll in courses numbered 293 or 493%COMMA% a student must have attained a cumulative grade-point average of 2.00 or higher. No more than 12 credits of internship and/or Work U may be applied towards graduation requirements.,Letter Grade - Regular,Internship,Undergraduate,Boise State University,School of the Arts
AE210,AE,Arts Passport,1,fall and spring only,NULL,"The Arts Passport is an Arts Initiative program designed to introduce students to the rich and diverse world of arts and culture and provide students with an immersive cultural experience. Students will explore the various arts offerings on campus and beyond and reflect on their experience. This course aims to cultivate an appreciation for various forms of artistic expression and promote active engagement with arts events. May be repeated once for credit.  ",Pass/Fail - PF,Lecture,Undergraduate,College of Arts and Sciences,School of the Arts
AE494,AE,Arts Entrepreneurship Workshops,1,fall and spring only,NULL,Possible topics include Pop-Ups%COMMA% Public Art%COMMA% The Pitch%COMMA% Intellectual Property and the Arts%COMMA% Employment Law and the Arts%COMMA% Arts Festivals%COMMA% Best Practices in Self-Producing%COMMA% The Creative City%COMMA% and Art as Social Practice. Course may be repeated for credit.,Letter Grade - Regular,Workshop,Undergraduate,College of Arts and Sciences,School of the Arts
AHS689,AHS,Dissertation Proposal,1-6,fall or spring or summer or all,NULL,Background%COMMA% objectives%COMMA% scope%COMMA% methods%COMMA% and timeline of the dissertation research. Considerable autonomy is granted to the academic unit in the design%COMMA% administration%COMMA% and evaluation%COMMA% and approval of the dissertation proposal. Pass/fail only.,Pass/Fail - PF,Lecture,Graduate,College of Health Sciences,School of Allied Health Sciences
