"Code","Subject Code","Number","Cross-listed","Course Title","Lecture Hours","Lab/Studio Hours","Credits","Semester Typically Offered","Foundations Designation","Description","Grading Basis","(requiresPermission)","Prerequisites","Co-requisites","Repeatable","Max Attempts","Total Credits Allowed","Course Type","Course Level","College","Department"
"ACCT513","ACCT","513",,"Foundations of Cost Accounting","3","0","3","fall and spring and summer",,"Development and use of cost information for strategic cost management. Common costing methods, variance analysis, lean accounting, and responsibility accounting. Emphasizes how costs affect managers’ decisions. Applies course topics to more realistic and less structured situations. Ethical and strategic aspects of cost accounting.","Letter Grade - Regular",,"Declared or admitted to one of the following: Accountancy MS (foundations), or Accounting Foundations GC (online)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT596","ACCT","596",,"Independent Study","V","V","1–6","fall or spring or summer or all",,"Advanced study of a specialized topic; design and completion of a project may be included in the study. The student works with a high degree of Independence to meet well-defined goals under the supervision of a member of the graduate faculty. Requires submission of a completed Application for Graduate Independent Study prior to the deadline specified in the academic calendar. An independent study cannot be substituted for a course regularly offered at Boise State, nor can independent study credits be used to improve a grade in a course the student has already taken. Either graded or pass/fail.","Letter Grade - Regular","Requires Permission of Instructor Only",,,"true","99","99","Independent Study","Graduate","College of Business and Economics","Accountancy"
"ACCT411","ACCT","411",,"Ethics in Accounting","3","0","3","spring only",,"Apply frameworks for ethical reasoning, moral principles, and professional values to various scenarios. Examine the consequences of ethical and unethical action or inaction. Recognize, interpret, and react to ethical decision situations, and identify relevant stakeholders in such situations. Discussion of contexts specific to the accounting profession and the broader business environment, including the rules and regulations promulgated by national regulatory agencies, professional accounting organizations, and state boards of accountancy.","Letter Grade - Regular",,"Complete all of the following
Declared or admitted to College of Business and Economics Admission
Completed the following:
  ACCT304 - Intermediate Accounting I (3)
  ACCT314 - Cost Accounting (3)
",,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT306","ACCT","306",,"Intermediate Accounting II","3","0","3","fall and spring only",,"Continuation of ACCT 304. Covers more advanced financial reporting topics, with a continued focus on preparation of general purpose financial statements for external users based on U.S. generally accepted accounting principles. Emphasis on measurement and reporting of liabilities and stockholders' equity.","Letter Grade - Regular",,"Completed the following:
ACCT304 - Intermediate Accounting I (3)
",,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT535","ACCT","535",,"Estate and Gift Taxation","3","0","3","fall or spring or summer or all",,"Federal estate and gift taxes, including estate planning.","Letter Grade - Regular",,"Declared or admitted to one of the following: Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT314","ACCT","314",,"Cost Accounting","3","0","3","fall and spring only",,"Development and use of cost information for strategic cost management. Common costing methods, variance analysis, lean accounting, and responsibility accounting. Emphasizes how costs affect managers' decisions. Applies course topics to more realistic and less structured situations. Ethical and strategic aspects of cost accounting.","Letter Grade - Regular",,"Declared or admitted to College of Business and Economics Admission
",,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT592","ACCT","592",,"Portfolio","V","V","1–6","fall or spring or summer or all",,"A broad-based selection of significant student work that is used to appraise student performance and professional development. A portfolio reflects the depth and breadth of a student’s educational growth since entering the graduate program. Portfolios may include, but not be limited to, classroom examinations, journals, writing samples, publishable scholarship, professional projects, annotated bibliographies, and artistic endeavors, Pass/fail only.","Pass/Fail/In-Progress - PIP",,,,"true","99","99","Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT549","ACCT","549",,"Foundations of Accounting Information Systems","3","0","3","fall and spring and summer",,"The study of how organizations and accountants design, use, and control systems that provide decision-relevant information to meet their needs. Topics include modeling business processes and relevant databases, analytics in accounting, risk management and internal controls, and information security. Students complete projects using database and analytics tools along with enterprise-level accounting software.","Letter Grade - Regular",,"Declared or admitted to one of the following: Accountancy MS (foundations), or Accounting Foundations GC (online)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT511","ACCT","511",,"Ethics in Accounting","3","0","3","spring only",,"Apply frameworks for ethical reasoning, moral principles, and professional values to various scenarios. Examine the consequences of ethical and unethical action or inaction. Recognize, interpret, and react to ethical decision situations, and identify relevant stakeholders in such situations. Discussion of contexts specific to the accounting profession and the broader business environment, including the rules and regulations promulgated by national regulatory agencies, professional accounting organizations, and state boards of accountancy.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT500","ACCT","500",,"Foundations of Financial Reporting I","3","0","3","fall and spring and summer",,"Study of financial reporting concepts and preparation of general-purpose financial statements for external users based on U.S. generally accepted accounting principles. Emphasis on income measurement and valuation of assets.","Letter Grade - Regular",,"Declared or admitted to one of the following: Accountancy MS (foundations), or Accounting Foundations GC (online)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT512","ACCT","512",,"Financial Reporting Theory","3","0","3","fall only",,"A critical analysis of the concepts and premises underlying financial reporting practices. Coverage includes the conceptual framework, current accounting standards and their origins, and other current topics in financial reporting.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to one of the following: Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT585","ACCT","585",,"Volunteer Income Tax Assistance (VITA) Program","1","3","3","spring only",,"Supervised participation in the Volunteer Income Tax Assistance (VITA) Program. VITA is an Internal Revenue Service (IRS) initiative designed to provide free tax return preparation services for underserved low-to-moderate income individuals, persons with disabilities, the elderly, and those with limited English proficiency. Students become IRS certified tax preparers. No prior tax experience is necessary.","Letter Grade - Regular",,"Declared or admitted to Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
",,"false",,,"Laboratory","Graduate","College of Business and Economics","Accountancy"
"ACCT485","ACCT","485",,"Volunteer Income Tax Assistance (VITA) Program","1","3","3","spring only",,"Supervised participation in the Volunteer Income Tax Assistance (VITA) Program. VITA is an Internal Revenue Service (IRS) initiative designed to provide free tax return preparation services for underserved low-to-moderate income individuals, persons with disabilities, the elderly, and those with limited English proficiency. Students become IRS certified tax preparers. No prior tax experience is necessary.","Letter Grade - Regular",,,,"false",,,"Laboratory","Undergraduate","College of Business and Economics","Accountancy"
"ACCT410","ACCT","410",,"Advanced Accounting","3","0","3","fall only",,"Accounting for business combinations, including consolidated financial statements, and governmental accounting.","Letter Grade - Regular",,"Complete all of the following
Declared or admitted to College of Business and Economics Admission
Completed the following:
  ACCT306 - Intermediate Accounting II (3)
",,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT501","ACCT","501",,"Foundations of Financial Reporting II","3","0","3","fall and spring and summer",,"Continuation of ACCT 500. Covers more advanced financial reporting topics, with a continued focus on preparation of general-purpose financial statements for external users based on U.S. generally accepted accounting principles. Emphasis on measurement and reporting of liabilities and stockholders’ equity.","Letter Grade - Regular",,"Earned a minimum grade of C in each of the following courses:
ACCT500 - Foundations of Financial Reporting I (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT290","ACCT","290",,"Foundations of the Accounting Profession","3","0","3","fall and spring and summer",,"Designed to provide a technical and professional foundation for accounting students. Includes the completion of a comprehensive, accounting-cycle project, including the use of accounting software. Also includes an overview of what it means to be an accounting professional; topics include professional judgment, ethical and societal responsibilities, career paths, and strategies for long-term success.","Letter Grade - Regular",,"Complete all of the following
Completed the following:
  ACCT205 - Introduction to Financial Accounting (3)

Completed the following:
  ITM105 - Spreadsheet Topics (2)

Or satisfactory completion of computer competency exam covering basic spreadsheet skills
",,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT518","ACCT","518",,"International Financial Reporting","3","0","3","spring only",,"Contemporary accounting practices of the major national economies. Includes directives of the European Community affecting financial reporting and pronouncements and activities of the International Accounting Standards Board.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to one of the following: Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT405","ACCT","405",,"Financial Statement Auditing","3","0","3","fall and spring only",,"Introduction to financial statement audits which provide the credibility necessary for the financial markets to operate. Topics include professional standards, SEC requirements for auditors in planning, evidence gathering and accumulation, and reporting. Ethical and legal considerations are also discussed.","Letter Grade - Regular",,"Complete all of the following
Declared or admitted to College of Business and Economics Admission
Completed the following:
  ACCT306 - Intermediate Accounting II (3)
  ACCT314 - Cost Accounting (3)
  ACCT350 - Accounting Information Systems (3)
",,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT514","ACCT","514",,"Advanced Managerial Accounting","3","0","3","fall or spring or both",,"Advanced applications of managerial accounting information for strategic management decisions. Coverage includes specialized tools for planning, operating and control decisions such as strategic cost management, strategic performance measurement and incentive systems, and activity- and resource-based costing. Emphasis is placed on the understanding and use of state of the art managerial accounting techniques.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to one of the following: Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT505","ACCT","505",,"Advanced Auditing","3","0","3","fall or spring or summer or all",,"In-depth study of auditing from an external auditor’s perspective. Topics include substantive testing, evidence, planning, reporting, documentation, and case studies. The course includes a major project in external auditing.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to one of the following: Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT580","ACCT","580",,"Selected Accounting Topics","3","0","3","spring only",,"Current accounting topics and issues are investigated in this class. Selected Accounting Topics may be taken once, as either ACCT 480 or ACCT 580.","Letter Grade - Regular","Requires Permission of Instructor Only",,,"false",,"3","Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT480","ACCT","480",,"Selected Accounting Topics","3","0","3","spring only",,"Current accounting topics and issues are investigated in this class. Recommended admission to COBE.","Letter Grade - Regular","Requires Permission of Instructor Only",,,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT530","ACCT","530",,"Corporate Tax Law","3","0","3","spring, summer, or both",,"Tax considerations in corporate formations, operations, distributions, redemptions, reorganizations, and liquidations. Includes a study of S corporations and an overview of financial accounting for income taxes.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT529","ACCT","529",,"Foundations of Federal Income Taxation","3","0","3","fall and spring and summer",,"Theory and practice of federal income taxation, including concepts of taxation as they apply to businesses, individuals, flow-through entities and corporations. Specific topics include property transactions, individual tax rules, business revenue and expense issues, and state taxation. Emphasizes the social, political and ethical considerations of tax law.","Letter Grade - Regular",,"Declared or admitted to one of the following: Accountancy MS (foundations), or Accounting Foundations GC (online)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT525","ACCT","525",,"Partnership Tax Law","3","0","3","fall only",,"Tax meaning of partnership, formation transactions between partner and partnership; determination and treatment of partnership income; sales and exchanges of partnership interest; distributions; retirement; death of a partner; drafting the partnership agreement.","Letter Grade - Regular",,"Declared or admitted to one of the following: Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT520","ACCT","520",,"Tax and Accounting Research","3","0","3","fall only",,"Instruction in all aspects of tax research including legislative, administrative and judicial sources; major tax services, and Internet-based tax research libraries. While the majority of the course focuses on tax research, the course also includes instruction in ethical issues in tax practice and instruction in financial accounting research resources, including the FASB Codification.","Letter Grade - Regular",,"Complete 1 of the following
Declared or admitted to Accountancy MS, Accountancy MS (online), or Accountancy, Taxation, MS JD
Complete all of the following
  Declared or admitted to Accountancy MS (foundations)
  Earned a minimum grade of C in each of the following courses:
    ACCT501 - Foundations of Financial Reporting II (3)
    ACCT504 - Foundations of Financial Statement Auditing (3)
    ACCT513 - Foundations of Cost Accounting (3)
    ACCT529 - Foundations of Federal Income Taxation (3)
",,"false",,,"Lecture","Graduate","College of Business and Economics","Accountancy"
"ACCT205","ACCT","205",,"Introduction to Financial Accounting","3","0","3","fall and spring and summer",,"Introduction to financial reporting. The primary objective is to make the student aware of the importance of accounting information as a powerful tool in the business decision-making process. Emphasis of the course is on the uses of financial information in making investment and credit decisions rather than the preparation of the information.","Letter Grade - Regular",,,"Complete 1 of the following
Completed or concurrently enrolled in:
  ITM105 - Spreadsheet Topics (2)

Or satisfactory completion of computer competency exam covering basic spreadsheet skills
Or an alternate instructor-approved course
","false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
"ACCT350","ACCT","350",,"Accounting Information Systems","3","0","3","fall and spring only",,"The study of the intersection of accounting, information technology, and data for decision making. Topics include the information life cycle, modeling business processes, frameworks and current assessment of governance, risk management, internal control, and information security. Applied projects and use of software in process modeling, design of controls, and data analytics.","Letter Grade - Regular",,"Complete all of the following
Declared or admitted to College of Business and Economics Admission
Completed the following:
  ACCT290 - Foundations of the Accounting Profession (3)

Completed at least 1 of the following:
  ITM310 - Business Intelligence (3)
  BUSMGT344 - Business Intelligence and Analytics (3)
",,"false",,,"Lecture","Undergraduate","College of Business and Economics","Accountancy"
